UMTS,208,1,29190,26450790,0,7.247452,43.696701,1000,15,1,1290426780,1426035288,0
UMTS,208,1,29190,26502167,0,7.243423,43.692627,1000,2,1,1290426780,1408433813,0
UMTS,208,1,29191,26502167,0,7.241089,43.690567,1000,10,1,1290426780,1408433808,0
UMTS,208,1,29190,26437470,0,7.2310638427734,43.682327270508,1000,1,1,1290345465,1290345465,0
UMTS,208,1,29190,26437473,0,7.2310638427734,43.682327270508,1000,1,1,1290345466,1290345466,0
UMTS,208,1,29191,26489184,0,7.229102,43.681346,1000,7,1,1290426780,1428384541,0
UMTS,208,1,29191,26537205,0,7.227631,43.680267,1000,6,1,1290426780,1428746175,0
UMTS,208,1,29191,26513153,0,7.222687,43.675667,1000,20,1,1290426780,1417957255,0
UMTS,208,1,29191,26530124,0,7.216358,43.671455,1000,24,1,1290426780,1425840983,0
UMTS,208,1,29191,26498073,0,7.203794,43.672224,1000,14,1,1290426780,1488612561,0
UMTS,208,1,29190,26490903,0,7.1843719482422,43.702926635742,1000,1,1,1290346017,1290346017,0
UMTS,208,1,29190,26500769,0,7.1747589111328,43.74137878418,1000,1,1,1290346284,1290346284,0
UMTS,208,1,29191,26481998,0,7.17731,43.746284,3219,7,1,1290426781,1445250745,0
UMTS,208,1,29191,26486750,0,7.175393,43.75564,1000,13,1,1290346516,1290346516,0
UMTS,208,1,29190,26486750,0,7.1720123291016,43.75373840332,1000,1,1,1290346456,1290346456,0
GSM,208,1,29185,23368,0,7.214859,43.749829,22076,108,1,1290426782,1696074726,0
UMTS,208,20,20121,792881,0,3.8349151611328,43.641128540039,1000,1,1,1290412911,1290412911,0
GSM,208,20,55,24160,0,-1.10208,49.254202,11561,36,1,1290461975,1290461975,0
GSM,208,20,55,15789,0,-1.041935,49.23457,16092,9,1,1290463494,1290463494,0
UMTS,208,10,18126,33170515,0,1.0897064208984,44.103927612305,1000,2,1,1290508752,1290508752,0
UMTS,208,20,20631,4147788,0,2.578229,48.595963,1000,33,1,1290533031,1290533031,0
GSM,208,20,260,2793,0,2.594148,48.600358,2407,10,1,1290533019,1290533019,0
GSM,208,20,55,23852,0,-1.07254,49.112595,1000,10,1,1290655914,1290655914,0
UMTS,208,20,20451,2969798,0,-1.0732269287109,49.113693237305,1000,1,1,1290656685,1290656685,0
GSM,208,20,55,18279,0,-1.0732269287109,49.113693237305,1000,4,1,1290656751,1290656751,0
UMTS,208,20,516,268689,0,6.9893646240234,49.237289428711,1000,4,1,1296587721,1296613622,0
UMTS,208,10,14337,215410,0,6.992796,49.260635,2608,3,1,1296587751,1384246063,0
GSM,208,1,13313,35324,0,3.618523,50.411566,2780,49,1,1308983820,1322114101,0
UMTS,208,1,25346,30485960,0,3.619727,50.403748,2008,36,1,1308983820,1309765243,0
UMTS,208,1,25346,30536360,0,3.611641,50.385818,1000,12,1,1308983820,1309765127,0
UMTS,208,1,25346,30475956,0,3.599853,50.370438,1568,30,1,1308983821,1309765096,0
UMTS,208,1,25346,30495239,0,3.572988,50.347284,2836,11,1,1308983821,1309765019,0
UMTS,208,1,25346,30520156,0,3.591842,50.362839,1816,5,1,1308983821,1309765050,0
UMTS,208,1,25346,30496184,0,3.600082,50.370255,1000,5,1,1308983821,1309765083,0
UMTS,208,1,25346,30475904,0,3.58149,50.35462,1000,13,1,1308983821,1309765017,0
UMTS,208,1,25346,30496859,0,3.571415,50.344849,1000,16,1,1308983821,1309764985,0
UMTS,208,1,25346,30525394,0,3.556023,50.336495,1000,12,1,1308983821,1309764935,0
UMTS,208,1,25346,30519287,0,3.544922,50.336838,1000,12,1,1308983821,1309764908,0
UMTS,208,1,25346,30539129,0,3.534664,50.338669,1000,11,1,1308983821,1309764881,0
UMTS,208,1,25346,30474502,0,3.51947,50.33638,1000,30,1,1308983821,1309764855,0
UMTS,208,1,25346,30495377,0,3.509095,50.337237,1791,47,1,1308983821,1309764814,0
UMTS,208,1,25346,30505587,0,3.504868,50.338211,1000,6,1,1308983821,1309757665,0
UMTS,208,1,25346,30502292,0,3.487865,50.34037,1157,21,1,1308983821,1309757654,0
UMTS,208,1,25346,30479631,0,3.495026,50.340042,1000,2,1,1308983821,1309757630,0
UMTS,208,1,25346,30525079,0,3.493423,50.340042,1000,3,1,1308983821,1309757625,0
UMTS,208,1,25346,30484001,0,3.489761,50.340958,1000,3,1,1308893601,1308893601,0
UMTS,208,1,25346,30492798,0,3.469791,50.340042,1000,8,1,1308983821,1309757574,0
UMTS,208,1,25346,30527774,0,3.459062,50.338583,1000,16,1,1308983821,1309757557,0
UMTS,208,1,25346,30486852,0,3.45108,50.335922,1000,2,1,1308983821,1309757517,0
UMTS,208,1,25346,30538920,0,3.445759,50.333347,1000,8,1,1308983821,1309757509,0
UMTS,208,1,25346,30497537,0,3.437416,50.328438,1000,20,1,1308983821,1309757496,0
UMTS,208,1,25346,30497536,0,3.430099,50.324173,1205,9,1,1308983821,1309757447,0
UMTS,208,1,25346,30474242,0,3.408508,50.31551,1182,22,1,1308983821,1309757408,0
UMTS,208,1,25346,30503169,0,3.421383,50.319443,1000,8,1,1308983821,1309757431,0
UMTS,208,1,25346,30538671,0,3.390655,50.310135,1000,18,1,1308983823,1309757371,0
UMTS,208,1,25346,30494976,0,3.3831024169922,50.307083129883,1000,1,1,1308893883,1308893883,0
UMTS,208,1,25346,30520237,0,3.358558,50.290604,2219,39,1,1308983823,1309757315,0
UMTS,208,1,25346,30494978,0,3.369674,50.299606,1043,9,1,1308983823,1309757314,0
UMTS,208,1,25346,30478081,0,3.372553,50.306116,1000,44,1,1308983823,1309757330,0
UMTS,208,1,25346,30494545,0,3.337096,50.272923,1711,16,1,1308983823,1309756849,0
UMTS,208,1,25346,30478471,0,3.334427,50.270386,1020,18,1,1308983823,1309756831,0
UMTS,208,1,4613,33009399,0,3.312377,50.248522,1620,28,1,1308983823,1309756767,0
UMTS,208,1,4613,32967957,0,3.291504,50.238144,1000,20,1,1308983824,1309756688,0
UMTS,208,1,4613,32988067,0,3.27011,50.228654,2356,36,1,1308983824,1384245804,0
UMTS,208,1,4613,32964888,0,3.263222,50.226301,1000,17,1,1308983824,1309756548,0
UMTS,208,1,4613,32964940,0,3.235788,50.21292,2383,37,1,1308983824,1384245803,0
